"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 10 09:17:48 UTC 2021","Fri Sep 10 09:17:55 UTC 2021","7150","","cancel account feature","","cancel account feature","set value and click ""get traffic"" button","set value and click ""get traffic"" button",""
"passed","Fri Sep 10 09:17:58 UTC 2021","Fri Sep 10 09:18:03 UTC 2021","4913","","cancel account feature","","cancel account feature","cancel account","cancel account",""
"passed","Sat Oct 23 04:12:18 UTC 2021","Sat Oct 23 04:12:21 UTC 2021","2163","","cancel account feature","","cancel account feature","click ""free account"" button","click ""free account"" button",""
"passed","Sat Oct 23 04:12:33 UTC 2021","Sat Oct 23 04:12:36 UTC 2021","3163","","cancel account feature","","cancel account feature","cancel account","cancel account",""
"passed","Sat Oct 23 04:12:36 UTC 2021","Sat Oct 23 04:12:36 UTC 2021","15","","cancel account feature","","cancel account feature","should redirect to home page","should redirect to home page",""
"passed","Sat Oct 23 04:12:30 UTC 2021","Sat Oct 23 04:12:30 UTC 2021","13","","cancel account feature","","cancel account feature","check for redirecting to the payment page","check for redirecting to the payment page",""
"passed","Sat Oct 23 04:12:21 UTC 2021","Sat Oct 23 04:12:26 UTC 2021","4928","","cancel account feature","","cancel account feature","sign in with valid credentials","sign in with valid credentials",""
"passed","Sat Oct 23 04:12:30 UTC 2021","Sat Oct 23 04:12:33 UTC 2021","3026","","cancel account feature","","cancel account feature","go to account setting page","go to account setting page",""
"passed","Fri Sep 10 09:17:43 UTC 2021","Fri Sep 10 09:17:48 UTC 2021","4757","","cancel account feature","","cancel account feature","sign in with valid credentials","sign in with valid credentials",""
"passed","Fri Sep 10 09:17:37 UTC 2021","Fri Sep 10 09:17:43 UTC 2021","5897","","cancel account feature","","cancel account feature","click ""free account"" button","click ""free account"" button",""
"passed","Sat Oct 23 04:12:26 UTC 2021","Sat Oct 23 04:12:30 UTC 2021","4150","","cancel account feature","","cancel account feature","set value and click ""get traffic"" button","set value and click ""get traffic"" button",""
"passed","Fri Sep 10 09:17:55 UTC 2021","Fri Sep 10 09:17:58 UTC 2021","3013","","cancel account feature","","cancel account feature","go to account setting page","go to account setting page",""
"passed","Fri Sep 10 09:17:55 UTC 2021","Fri Sep 10 09:17:55 UTC 2021","15","","cancel account feature","","cancel account feature","check for redirecting to the payment page","check for redirecting to the payment page",""
"passed","Fri Sep 10 09:18:03 UTC 2021","Fri Sep 10 09:18:03 UTC 2021","14","","cancel account feature","","cancel account feature","should redirect to home page","should redirect to home page",""
